date,time,title,speaker,break,room,floor
2009-07-19,13:30 - 15:30,Ruby製アプリケーションを配布するn個の方法,原 悠,,,
2009-07-19,13:30 - 15:30,tDiary の Ruby 1.9 対応の過程と今後のロードマップ,柴田 博志,,,
2009-07-19,13:30 - 15:30,Haml and Sass: Solution for you who get tired of ugly markup,浦嶌 啓太,,,
2009-07-19,15:30 - 16:00,break,,true,,
2009-07-19,16:00 - 17:00,Re-introduction to Ruby,前田 修吾,,一橋記念講堂,2F
2009-07-19,16:00 - 17:00,Getting Things "Done Done" As Cool As Cucumber,角谷 信太郎,,中会議場,2F
2009-07-19,16:00 - 17:00,Erubis徹底解説,桑田 誠,,特別会議室,1F
2009-07-19,17:00 - 17:10,break,,true,,
2009-07-19,17:10 - 18:10,Keynote Address,高橋 征義,,一橋記念講堂,2F
2009-07-19,18:10 - 18:20,Closing,,,一橋記念講堂,2F
