date	title	speaker	belonging
2010-08-27		Kouichirou Eto	
2010-08-27		Hidetoshi NAGAI	Kyushu Institute of Technology / Rubyist Kyushu
2010-08-27		ANDO Yasushi	Seesaa Inc.
2010-08-27		Shozo Arai	
2010-08-27		gaooh	
2010-08-27		Yamazaki Yasuhiro	
2010-08-27		Ayumu Aizawa	
2010-08-27		Mohammad A. Ali	eSpace
2010-08-27		Tsukasa OISHI	Tabelog.com
2010-08-27		Toshiaki Koshiba	
2010-08-27		Kazuki Matsumoto	CTO
2010-08-28		_tad_	
2010-08-28		Han Kessels	Hanamaru K.K.
2010-08-28		TAKANO Mitsuhiro (a.k.a. takano32)	
2010-08-28		Benjamin Smith	Enphase Energy
2010-08-28		Yuko Kubo	
2010-08-28		Arndt Lehmann	TUV Rheinland Japan Ltd.
2010-08-28		KURODA Hiraku	
2010-08-28		Kenneth Kalmer	
2010-08-28		Yuichi Uemura	
2010-08-28		Yasuhiro Araki	
2010-08-28		Kouhei Sutou	ClearCode Inc.
